Time,VM VIEW Current CGroup Limit,VM VIEW Memory Total,VM VIEW Memory Available,VM VIEW Memory Used,HOST VIEW VM Memory used,HOST VIEW VM Current Swap,VM2 VIEW Response Time,ICMP Response Time,VM2 VIEW Bandwidth Download,VM2 VIEW Bandwidth Upload
1708598518.075056,2147483648,2058121216,1661751296,396369920,1571799040,959885312,27.59225,1.3640224933624268,7.594961524009705,0.41215991973876953
1708598560.135067,2147483648,2058121216,1676042240,382078976,1589039104,958840832,26.038999999999998,2.1844804286956787,6.980538368225098,0.35824549198150635
1708598601.5694757,2013265920,2058121216,1663918080,394203136,1594933248,958316544,25.648125,1.5999376773834229,7.0697526931762695,0.365994930267334
1708598644.7932928,2013265920,2058121216,1661816832,396304384,1603108864,956743680,26.76425,2.823740243911743,7.356027007102966,0.3716238737106323
1708598685.1207693,1879048192,2058121216,1658785792,399335424,1631703040,950198272,28.54714285714286,2.029861722673689,7.870715005057199,0.39820521218436106
1708598725.2069879,1879048192,2058121216,1663918080,394203136,1639550976,949673984,28.358,1.2620857783726283,7.3137296949114114,0.4357272556849888
1708598770.777931,1744830464,2058121216,1668743168,389378048,1712558080,948363264,25.05611111111111,1.7022026909722223,7.579934332105848,0.3590070936414931
1708598812.8094199,1744830464,2058121216,1669550080,388571136,1744564224,938926080,29.768285714285714,1.495633806501116,7.820235933576312,0.39395155225481304
1708598852.9320946,1610612736,2058121216,1671258112,386863104,1543991296,927391744,28.39042857142857,1.8114362444196428,7.861323765345982,0.3964590345110212
1708598896.1345847,1610612736,2058121216,1670246400,387874816,1607995392,916647936,30.592285714285715,3.496340342930385,7.534354618617466,0.4102701459612165
1708598940.896611,1476395008,2058121216,1693597696,364523520,1445638144,881848320,27.701624999999996,1.5188157558441162,7.902181386947632,0.40955352783203125
1708598980.9476912,1476395008,2058121216,1664155648,393965568,1475743744,873459712,28.34585714285714,1.2885161808558874,7.348688125610352,0.41214561462402344
1708599023.0018392,1342177280,2058121216,1661714432,396406784,1251987456,855330816,29.560142857142857,2.1247523171561107,7.931158202035086,0.42336041586739676
1708599068.405623,1342177280,2058121216,1662558208,395563008,1319804928,850612224,28.123874999999998,1.15281343460083,7.934020400047302,0.411452054977417
1708599111.1182141,1207959552,2058121216,1663787008,394334208,1159663616,868036608,30.199,2.1902833666120256,7.464529037475586,0.4220626013619559
1708599151.517115,1207959552,2058121216,1677934592,380186624,1207791616,867774464,28.594,2.0610604967389787,7.760393278939383,0.4240469251360212
1708599194.237045,1207959552,2058121216,1664663552,393457664,1207877632,882860032,26.426,1.4046132564544678,7.257542848587036,0.40538763999938965
1708599235.6510956,1073741824,2058121216,1667350528,390770688,1060069376,981643264,28.804571428571425,1.2070451463971819,7.113745825631278,0.4143232618059431
1708599279.4131074,1073741824,2058121216,1669402624,388718592,1073696768,991494144,27.044000000000004,1.3894736766815186,7.149719834327698,0.4069012403488159
1708599323.226633,939524096,2058121216,1661104128,397017088,874262528,1210937344,30.880857142857142,2.8451510838099887,7.320462363106864,0.4076006753104074
1708599370.8828318,939524096,2058121216,1685843968,372277248,939503616,1209626624,29.524875,2.1487772464752197,7.098732948303223,0.4465447664260864
